regional_council,territorial_authority,education_region,total_schools_directory,schools_with_rolls,total_students_2025,schools_with_teachers,total_teacher_headcount_latest,total_teacher_ftte_latest,schools_in_ptr_overlap,students_in_ptr_overlap,teacher_headcount_in_ptr_overlap,teacher_ftte_in_ptr_overlap,avg_students_per_school_2025,ptr_headcount_overlap,ptr_ftte_overlap,roll_year,teacher_year
Canterbury Region,Waimate District,"Canterbury, Chatham Islands",9,9.0,911.0,9.0,85.0,69.9941,9.0,911.0,85.0,69.9941,101.22222222222223,10.717647058823529,13.015382725115401,2025,2024
Manawatū-Whanganui Region,Ruapehu District,"Taranaki, Whanganui, Manawatū",7,7.0,830.0,7.0,86.0,68.2466,7.0,830.0,86.0,68.2466,118.57142857142857,9.651162790697674,12.161778022641421,2025,2024
Auckland Region,Māngere-Ōtāhuhu Local Board Area,Tāmaki Herenga Manawa,3,3.0,789.0,2.0,64.0,51.0833,2.0,783.0,64.0,51.0833,263.0,12.234375,15.327905597328286,2025,2024
Canterbury Region,Mackenzie District,"Canterbury, Chatham Islands",8,8.0,691.0,8.0,71.0,58.6222,8.0,691.0,71.0,58.62220000000001,86.375,9.732394366197184,11.787343361388688,2025,2024
Waikato Region,Rotorua District,"Bay of Plenty, Waiariki",8,8.0,668.0,8.0,67.0,56.8201,8.0,668.0,67.0,56.8201,83.5,9.970149253731343,11.756403103831216,2025,2024
Canterbury Region,Kaikoura District,"Nelson, Marlborough, West Coast",5,5.0,499.0,5.0,54.0,45.055,5.0,499.0,54.0,45.055,99.8,9.24074074074074,11.075352347131284,2025,2024
Auckland Region,Maungakiekie-Tāmaki Local Board Area,Tāmaki Herenga Waka,1,1.0,361.0,1.0,23.0,19.9341,1.0,361.0,23.0,19.9341,361.0,15.695652173913043,18.109671367154775,2025,2024
Bay of Plenty Region,Western Bay of Plenty District,Waikato,1,1.0,266.0,1.0,24.0,18.018700000000003,1.0,266.0,24.0,18.018700000000003,266.0,11.083333333333334,14.762441241599003,2025,2024
Canterbury Region,Waitaki District,"Otago, Southland",3,3.0,245.0,3.0,16.0,14.918,3.0,245.0,16.0,14.918,81.66666666666667,15.3125,16.423113017830808,2025,2024
Manawatū-Whanganui Region,Horowhenua District,"Taranaki, Whanganui, Manawatū",2,2.0,206.0,2.0,18.0,15.4754,2.0,206.0,18.0,15.4754,103.0,11.444444444444445,13.311449138632927,2025,2024
Canterbury Region,Christchurch City,Tāmaki Herenga Tāngata,1,1.0,113.0,1.0,238.0,202.3428,1.0,113.0,238.0,202.3428,113.0,0.47478991596638653,0.5584582204061622,2025,2024
Auckland Region,Aotea/Great Barrier Local Board Area,Tāmaki Herenga Manawa,3,3.0,108.0,3.0,15.0,10.4208,3.0,108.0,15.0,10.4208,36.0,7.2,10.363887609396592,2025,2024
Area Outside Region,Chatham Islands Territory,"Canterbury, Chatham Islands",3,3.0,72.0,3.0,8.0,6.7367,3.0,72.0,8.0,6.7367,24.0,9.0,10.687725444208588,2025,2024
Waikato Region,Hauraki District,Tāmaki Herenga Waka,1,1.0,41.0,1.0,2.0,1.8818,1.0,41.0,2.0,1.8818,41.0,20.5,21.787650122223404,2025,2024
Waikato Region,Taupo District,Waikato,1,1.0,41.0,1.0,4.0,3.616,1.0,41.0,4.0,3.616,41.0,10.25,11.338495575221238,2025,2024
Waikato Region,Waitomo District,"Taranaki, Whanganui, Manawatū",2,2.0,28.0,2.0,6.0,4.5109,2.0,28.0,6.0,4.5109,14.0,4.666666666666667,6.207187035846505,2025,2024
Manawatū-Whanganui Region,Stratford District,"Taranaki, Whanganui, Manawatū",1,1.0,18.0,1.0,2.0,1.4827,1.0,18.0,2.0,1.4827,18.0,9.0,12.140014837795913,2025,2024
Bay of Plenty Region,Taupo District,"Bay of Plenty, Waiariki",1,1.0,15.0,1.0,2.0,1.744,1.0,15.0,2.0,1.744,15.0,7.5,8.600917431192661,2025,2024
Auckland Region,Albert-Eden Local Board Area,Tāmaki Herenga Waka,1,,,,,,,,,,,,,2025,2024
