case,emirate,education_type,gender,nationality,curriculum,students,schools,teachers,ptr,pf_rows,score_rows,nat_rows,avg_score
emirate=Umm Al Quwain | education_type=Private Schools MOE Curriculum | gender=Female | curriculum=U.A.E,Umm Al Quwain,Private Schools MOE Curriculum,Female,,U.A.E,1069,2,155,6.8968,0,0,0,
emirate=Umm Al Quwain | education_type=Private Schools MOE Curriculum | gender=Male | curriculum=U.A.E,Umm Al Quwain,Private Schools MOE Curriculum,Male,,U.A.E,919,2,155,5.929,0,0,0,
emirate=Umm Al Quwain | education_type=Private Schools Non MOE Curriculum in the four northern emirates | curriculum=American,Umm Al Quwain,Private Schools Non MOE Curriculum in the four northern emirates,,,American,7099,2,489,14.5174,0,0,0,
emirate=Umm Al Quwain | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Female | curriculum=American,Umm Al Quwain,Private Schools Non MOE Curriculum in the four northern emirates,Female,,American,3404,2,489,6.9611,0,0,0,
emirate=Umm Al Quwain | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Male | curriculum=American,Umm Al Quwain,Private Schools Non MOE Curriculum in the four northern emirates,Male,,American,3695,2,489,7.5562,0,0,0,
emirate=Umm Al Quwain | education_type=Private Schools Non MOE Curriculum in the four northern emirates | curriculum=Indian,Umm Al Quwain,Private Schools Non MOE Curriculum in the four northern emirates,,,Indian,7099,3,489,14.5174,0,0,0,
emirate=Umm Al Quwain | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Female | curriculum=Indian,Umm Al Quwain,Private Schools Non MOE Curriculum in the four northern emirates,Female,,Indian,3404,3,489,6.9611,0,0,0,
emirate=Umm Al Quwain | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Male | curriculum=Indian,Umm Al Quwain,Private Schools Non MOE Curriculum in the four northern emirates,Male,,Indian,3695,3,489,7.5562,0,0,0,
emirate=Umm Al Quwain | education_type=Private Schools Non MOE Curriculum in the four northern emirates | curriculum=Special,Umm Al Quwain,Private Schools Non MOE Curriculum in the four northern emirates,,,Special,7099,1,489,14.5174,0,0,0,
emirate=Umm Al Quwain | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Female | curriculum=Special,Umm Al Quwain,Private Schools Non MOE Curriculum in the four northern emirates,Female,,Special,3404,1,489,6.9611,0,0,0,
emirate=Umm Al Quwain | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Male | curriculum=Special,Umm Al Quwain,Private Schools Non MOE Curriculum in the four northern emirates,Male,,Special,3695,1,489,7.5562,0,0,0,
emirate=Umm Al Quwain | education_type=Public | curriculum=Ministry of Education Curriculum,Umm Al Quwain,Public,,,Ministry of Education Curriculum,5300,14,415,12.7711,0,0,0,
emirate=Umm Al Quwain | education_type=Public | gender=Female | curriculum=Ministry of Education Curriculum,Umm Al Quwain,Public,Female,,Ministry of Education Curriculum,2837,14,415,6.8361,0,0,0,
emirate=Umm Al Quwain | education_type=Public | gender=Male | curriculum=Ministry of Education Curriculum,Umm Al Quwain,Public,Male,,Ministry of Education Curriculum,2463,14,415,5.9349,0,0,0,
emirate=Umm Al Quwain | education_type=Public Ajyal | curriculum=Ministry of Education Curriculum,Umm Al Quwain,Public Ajyal,,,Ministry of Education Curriculum,672,1,47,14.2979,0,0,0,
emirate=Umm Al Quwain | education_type=Public Ajyal | gender=Female | curriculum=Ministry of Education Curriculum,Umm Al Quwain,Public Ajyal,Female,,Ministry of Education Curriculum,330,1,47,7.0213,0,0,0,
emirate=Umm Al Quwain | education_type=Public Ajyal | gender=Male | curriculum=Ministry of Education Curriculum,Umm Al Quwain,Public Ajyal,Male,,Ministry of Education Curriculum,342,1,47,7.2766,0,0,0,
